pnum,date,count,year,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size,days_from_lay,date_first,date_last
20201EX25,2020-04-15,12,2020,EX25,2020-05-31,,,2020-04-17,17.0,6.0,0.5,True,0,2020-05-08,38.0,14.0,6.8,4.0,8.0,6.0,6,52.0,15.0,6.0,0,6,18.8,tw41850,vz31314,False,,2019.0,5.0,1,446123.33,208965.71,G,14508.79,421.145,104.815,23.7335,0.915427424,5.0,2.0,True,21,0,2020-04-13,2020-04-15,-4.0,20,2.0,-2.0,2020-04-15,2020-04-15
20201EX26,2020-04-30,2,2020,EX26,2020-05-31,,,2020-04-17,17.0,6.0,1.0,True,0,2020-05-07,37.0,11.0,6.0,4.0,10.0,10.0,10,51.0,15.0,10.0,0,10,18.73,tw41874,vz29229,False,,2019.0,5.0,1,446155.33,208949.71,G,10013.99,424.882,106.03,351.446,0.988876117,5.0,2.0,True,28,0,2020-04-30,2020-05-03,13.0,111,7.0,13.0,2020-04-30,2020-05-03
20201EX26,2020-05-01,10,2020,EX26,2020-05-31,,,2020-04-17,17.0,6.0,1.0,True,0,2020-05-07,37.0,11.0,6.0,4.0,10.0,10.0,10,51.0,15.0,10.0,0,10,18.73,tw41874,vz29229,False,,2019.0,5.0,1,446155.33,208949.71,G,10013.99,424.882,106.03,351.446,0.988876117,5.0,2.0,True,28,0,2020-04-30,2020-05-03,13.0,111,7.0,14.0,2020-04-30,2020-05-03
20201EX26,2020-05-02,28,2020,EX26,2020-05-31,,,2020-04-17,17.0,6.0,1.0,True,0,2020-05-07,37.0,11.0,6.0,4.0,10.0,10.0,10,51.0,15.0,10.0,0,10,18.73,tw41874,vz29229,False,,2019.0,5.0,1,446155.33,208949.71,G,10013.99,424.882,106.03,351.446,0.988876117,5.0,2.0,True,28,0,2020-04-30,2020-05-03,13.0,111,7.0,15.0,2020-04-30,2020-05-03
20201EX26,2020-05-03,9,2020,EX26,2020-05-31,,,2020-04-17,17.0,6.0,1.0,True,0,2020-05-07,37.0,11.0,6.0,4.0,10.0,10.0,10,51.0,15.0,10.0,0,10,18.73,tw41874,vz29229,False,,2019.0,5.0,1,446155.33,208949.71,G,10013.99,424.882,106.03,351.446,0.988876117,5.0,2.0,True,28,0,2020-04-30,2020-05-03,13.0,111,7.0,16.0,2020-04-30,2020-05-03
20201EX29,2020-04-30,2,2020,EX29,2020-05-31,,,2020-04-22,22.0,6.0,1.0,True,0,2020-05-13,43.0,14.0,4.8,3.0,8.0,4.0,4,57.0,15.0,4.0,0,4,18.1,,y839893,,,,,,446108.33,208834.71,G,9128.75,431.476,117.835,8.78083,0.988279512,5.0,2.0,True,28,0,2020-04-30,2020-05-03,8.0,14,3.0,8.0,2020-04-30,2020-05-03
20201EX29,2020-05-01,2,2020,EX29,2020-05-31,,,2020-04-22,22.0,6.0,1.0,True,0,2020-05-13,43.0,14.0,4.8,3.0,8.0,4.0,4,57.0,15.0,4.0,0,4,18.1,,y839893,,,,,,446108.33,208834.71,G,9128.75,431.476,117.835,8.78083,0.988279512,5.0,2.0,True,28,0,2020-04-30,2020-05-03,8.0,14,3.0,9.0,2020-04-30,2020-05-03
20201EX29,2020-05-02,1,2020,EX29,2020-05-31,,,2020-04-22,22.0,6.0,1.0,True,0,2020-05-13,43.0,14.0,4.8,3.0,8.0,4.0,4,57.0,15.0,4.0,0,4,18.1,,y839893,,,,,,446108.33,208834.71,G,9128.75,431.476,117.835,8.78083,0.988279512,5.0,2.0,True,28,0,2020-04-30,2020-05-03,8.0,14,3.0,10.0,2020-04-30,2020-05-03
20201EX29,2020-05-03,2,2020,EX29,2020-05-31,,,2020-04-22,22.0,6.0,1.0,True,0,2020-05-13,43.0,14.0,4.8,3.0,8.0,4.0,4,57.0,15.0,4.0,0,4,18.1,,y839893,,,,,,446108.33,208834.71,G,9128.75,431.476,117.835,8.78083,0.988279512,5.0,2.0,True,28,0,2020-04-30,2020-05-03,8.0,14,3.0,11.0,2020-04-30,2020-05-03
20201EX3,2020-04-13,15,2020,EX3,2020-05-30,,,2020-04-17,17.0,6.0,1.0,True,0,2020-05-06,36.0,12.0,6.2,4.0,8.0,7.0,7,50.0,15.0,7.0,0,7,18.94,vz31212,vz29502,True,C63,2019.0,5.0,1,445602.33,208356.71,G,4056.05,299.677,149.83,282.881,0.222926861,5.0,1.0,True,21,0,2020-04-13,2020-04-15,-4.0,17,1.0,-4.0,2020-04-13,2020-04-15
